path	label
/home/mamoris/notebooks/AI Capstone/train/1000_c.png	8
/home/mamoris/notebooks/AI Capstone/train/1001_c.png	1
/home/mamoris/notebooks/AI Capstone/train/1002_c.png	8
/home/mamoris/notebooks/AI Capstone/train/1003_c.png	10
/home/mamoris/notebooks/AI Capstone/train/1004_c.png	6
/home/mamoris/notebooks/AI Capstone/train/1005_c.png	1
/home/mamoris/notebooks/AI Capstone/train/1006_c.png	10
/home/mamoris/notebooks/AI Capstone/train/1007_c.png	2
/home/mamoris/notebooks/AI Capstone/train/1008_c.png	0
/home/mamoris/notebooks/AI Capstone/train/1009_c.png	5
/home/mamoris/notebooks/AI Capstone/train/1010_c.png	0
/home/mamoris/notebooks/AI Capstone/train/1011_c.png	3
/home/mamoris/notebooks/AI Capstone/train/1012_c.png	2
/home/mamoris/notebooks/AI Capstone/train/1013_c.png	6
/home/mamoris/notebooks/AI Capstone/train/1014_c.png	4
/home/mamoris/notebooks/AI Capstone/train/1015_c.png	8
/home/mamoris/notebooks/AI Capstone/train/1016_c.png	3
/home/mamoris/notebooks/AI Capstone/train/1017_c.png	5
/home/mamoris/notebooks/AI Capstone/train/1018_c.png	7
/home/mamoris/notebooks/AI Capstone/train/1019_c.png	2
/home/mamoris/notebooks/AI Capstone/train/1020_c.png	0
/home/mamoris/notebooks/AI Capstone/train/1021_c.png	7
/home/mamoris/notebooks/AI Capstone/train/1022_c.png	6
/home/mamoris/notebooks/AI Capstone/train/1023_c.png	2
/home/mamoris/notebooks/AI Capstone/train/1024_c.png	0
/home/mamoris/notebooks/AI Capstone/train/1025_c.png	3
/home/mamoris/notebooks/AI Capstone/train/1026_c.png	0
/home/mamoris/notebooks/AI Capstone/train/1027_c.png	5
/home/mamoris/notebooks/AI Capstone/train/1028_c.png	2
/home/mamoris/notebooks/AI Capstone/train/1029_c.png	1
/home/mamoris/notebooks/AI Capstone/train/1030_c.png	3
/home/mamoris/notebooks/AI Capstone/train/1031_c.png	1
/home/mamoris/notebooks/AI Capstone/train/1032_c.png	5
/home/mamoris/notebooks/AI Capstone/train/1033_c.png	0
/home/mamoris/notebooks/AI Capstone/train/1034_c.png	4
/home/mamoris/notebooks/AI Capstone/train/1035_c.png	9
/home/mamoris/notebooks/AI Capstone/train/1036_c.png	5
/home/mamoris/notebooks/AI Capstone/train/1037_c.png	9
/home/mamoris/notebooks/AI Capstone/train/1038_c.png	10
/home/mamoris/notebooks/AI Capstone/train/1039_c.png	4
/home/mamoris/notebooks/AI Capstone/train/1040_c.png	6
/home/mamoris/notebooks/AI Capstone/train/1041_c.png	1
/home/mamoris/notebooks/AI Capstone/train/1042_c.png	7
/home/mamoris/notebooks/AI Capstone/train/1043_c.png	2
/home/mamoris/notebooks/AI Capstone/train/1044_c.png	0
/home/mamoris/notebooks/AI Capstone/train/1045_c.png	5
/home/mamoris/notebooks/AI Capstone/train/1046_c.png	5
/home/mamoris/notebooks/AI Capstone/train/1047_c.png	4
/home/mamoris/notebooks/AI Capstone/train/1048_c.png	2
/home/mamoris/notebooks/AI Capstone/train/1049_c.png	7
/home/mamoris/notebooks/AI Capstone/train/1050_c.png	8
/home/mamoris/notebooks/AI Capstone/train/1051_c.png	9
/home/mamoris/notebooks/AI Capstone/train/1052_c.png	5
